id,autor,orden,aff,aid,pais,orcid
journal-article-10.2307_24461715,"leetaru, kalev",1,NA,NA,NA,NA
journal-article-10.2307_24467139,"couldry, nick",1,NA,NA,NA,0000-0001-8233-3287
journal-article-10.2307_24467545,"tubaro, paola",1,NA,NA,NA,0000-0002-1215-9145
journal-article-10.2307_24480742,"susewind, raphael",1,NA,NA,NA,0000-0003-1022-4748
journal-article-10.2307_24480742,"dhattiwala, raheel",2,NA,NA,NA,0000-0003-4100-2742
journal-article-10.2307_24481054,"mani, sunil",1,NA,NA,NA,0000-0001-6929-2556
journal-article-10.2307_24483317,"cavoukian, ann",1,NA,NA,NA,0000-0002-2324-0627
journal-article-10.2307_24483581,"mundie, craig",1,NA,NA,NA,NA
journal-article-10.2307_24483587,"karabell, zachary",1,NA,NA,NA,NA
journal-article-10.2307_24483669,"lowenberg-deboer, jess",1,NA,NA,NA,NA
journal-article-10.2307_24483811,"brynjolfsson, erik",1,NA,NA,NA,NA
journal-article-10.2307_24483811,"mcafee, andrew",2,NA,NA,NA,NA
journal-article-10.2307_24483812,"wolf, martin",1,NA,NA,NA,0000-0002-2016-5545
journal-article-10.2307_24483813,"nourbakhsh, illah reza",1,NA,NA,NA,NA
journal-article-10.2307_24483820,"king, charles",1,NA,NA,NA,0000-0002-4636-223X
journal-article-10.2307_24483820,"king, charles",1,NA,NA,NA,0000-0001-8423-2877
journal-article-10.2307_24483820,"king, charles",1,NA,NA,NA,0000-0001-6420-5695
journal-article-10.2307_24484902,"swetkis, doreen",1,NA,NA,NA,NA
journal-article-10.2307_24526257,"abdenur, adriana erthal",1,NA,NA,NA,NA
journal-article-10.2307_24526257,"da silva gama, carlos frederico pereira",2,NA,NA,NA,NA
journal-article-10.2307_24538681,"aldrich, richard j.",1,NA,NA,NA,NA
journal-article-10.2307_24539825,"stafford, tom",1,NA,NA,NA,0000-0003-0567-6117
journal-article-10.2307_24539825,"dewar, michael",2,NA,NA,NA,0000-0003-1913-0991
journal-article-10.2307_24540230,"cocks, joan",1,NA,NA,NA,0000-0001-5861-4791
journal-article-10.2307_24541845,"shah, dhavan v.",1,NA,NA,NA,NA
journal-article-10.2307_24541845,"cappella, joseph n.",2,NA,NA,NA,NA
