id,autor,orden,aff,aid,pais,orcid
journal-article-10.2307_24841173,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24841175,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24841359,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24841360,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24841370,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24841371,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24841387,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24841611,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24841614,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24841630,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24841631,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24841657,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24841709,"mitchell, ellen",1,NA,NA,NA,0000-0002-4485-7757
journal-article-10.2307_24841711,"mitchell, ellen",1,NA,NA,NA,0000-0002-4485-7757
journal-article-10.2307_24841713,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24841715,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24841740,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24841742,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24841744,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24841744,"censer, marjorie",2,NA,NA,NA,NA
journal-article-10.2307_24841746,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24841805,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24841806,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24841849,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24841850,"censer, marjorie",1,NA,NA,NA,NA
journal-article-10.2307_24847569,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24847570,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24847571,"castelli, christopher j.",1,NA,NA,NA,NA
journal-article-10.2307_24849445,"eckstein, megan",1,NA,NA,NA,0000-0001-8310-5032
journal-article-10.2307_24849466,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24850571,"eckstein, megan",1,NA,NA,NA,0000-0001-8310-5032
journal-article-10.2307_24850572,"belogolova, olga",1,NA,NA,NA,NA
journal-article-10.2307_24851491,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24851492,"seligman, lara",1,NA,NA,NA,NA
journal-article-10.2307_24851501,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24851502,"seligman, lara",1,NA,NA,NA,NA
journal-article-10.2307_24851503,"seligman, lara",1,NA,NA,NA,NA
journal-article-10.2307_24851504,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24851521,"seligman, lara",1,NA,NA,NA,NA
journal-article-10.2307_24851522,"seligman, lara",1,NA,NA,NA,NA
journal-article-10.2307_24851526,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24851527,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24851616,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24851617,"seligman, lara",1,NA,NA,NA,NA
journal-article-10.2307_24851734,"seligman, lara",1,NA,NA,NA,NA
journal-article-10.2307_24851736,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24852510,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24852525,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24852621,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24852622,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24852694,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24852743,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24852761,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24852763,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24852766,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24852768,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24852827,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24852827,"albon, courtney",2,NA,NA,NA,NA
journal-article-10.2307_24852842,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24853040,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24853055,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24853057,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24853532,"drew, james",1,NA,NA,NA,0000-0002-2864-7987
journal-article-10.2307_24853533,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24854004,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24854014,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24854358,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24854382,"censer, marjorie",1,NA,NA,NA,NA
journal-article-10.2307_24854384,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24876577,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24876796,"karas, rachel s.",1,NA,NA,NA,NA
journal-article-10.2307_24876808,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24876956,"lee, connie",1,NA,NA,NA,0000-0002-1969-3738
journal-article-10.2307_24876968,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24877622,"hersh, eitan d.",1,NA,NA,NA,NA
journal-article-10.2307_24877622,"nall, clayton",2,NA,NA,NA,0000-0001-5312-9607
journal-article-10.2307_24877697,"babar, ali",1,NA,NA,NA,0000-0002-0397-3268
journal-article-10.2307_24877790,"klinken, peter",1,NA,NA,NA,NA
journal-article-10.2307_24877798,"o'kane, mary",1,NA,NA,NA,0000-0003-3182-3862
journal-article-10.2307_24878707,"laurison, daniel",1,NA,NA,NA,0000-0001-8221-0535
journal-article-10.2307_24878711,"motro, joanna",1,NA,NA,NA,NA
journal-article-10.2307_24878711,"vanneman, reeve",2,NA,NA,NA,NA
journal-article-10.2307_24878800,"rothman, barbara katz",1,NA,NA,NA,NA
journal-article-10.2307_24887560,"medina, veronica e.",1,NA,NA,NA,NA
journal-article-10.2307_24890283,"roy, souvanic",1,NA,NA,NA,0000-0001-6667-8429
journal-article-10.2307_24899037,"wajcman, judy",1,NA,NA,NA,NA
journal-article-10.2307_26159805,"parigi, paolo",1,NA,NA,NA,NA
journal-article-10.2307_26159805,"santana, jessica j.",2,NA,NA,NA,NA
journal-article-10.2307_26159805,"cook, karen s.",3,NA,NA,NA,0000-0003-0867-5443
journal-article-10.2307_26159805,"cook, karen s.",3,NA,NA,NA,0000-0003-1064-0637
journal-article-10.2307_26160698,"cornforth, chris",1,NA,NA,NA,NA
journal-article-10.2307_26165459,"ciaglia, sarah",1,NA,NA,NA,NA
journal-article-10.2307_26165494,"ciaglia, sarah",1,NA,NA,NA,NA
journal-article-10.2307_26179358,"herrmann, peter",1,NA,NA,NA,0000-0003-3830-466X
journal-article-10.2307_26201960,"middleton, gordon r.",1,NA,NA,NA,NA
journal-article-10.2307_26201974,"keefe, joe",1,NA,NA,NA,NA
journal-article-10.2307_26202022,"regian, j. wesley",1,NA,NA,NA,NA
journal-article-10.2307_26202065,"lowenthal, mark m.",1,NA,NA,NA,NA
journal-article-10.2307_26202097,"spracher, bill",1,NA,NA,NA,NA
journal-article-10.2307_26202099,"reilly, brant c.",1,NA,NA,NA,NA
journal-article-10.2307_26202109,"green, ronzelle l.",1,NA,NA,NA,NA
journal-article-10.2307_26202111,"hoven, john",1,NA,NA,NA,NA
journal-article-10.2307_26202111,"lawton, joel",2,NA,NA,NA,NA
journal-article-10.2307_26202114,"richey, melonie k.",1,NA,NA,NA,NA
journal-article-10.2307_26202160,"spracher, bill",1,NA,NA,NA,NA
journal-article-10.2307_26202160,"bailey, chris",2,NA,NA,NA,0000-0002-1602-8396
journal-article-10.2307_26202161,"oleson, peter c.",1,NA,NA,NA,NA
journal-article-10.2307_26202161,"cothron, tony",2,NA,NA,NA,NA
journal-article-10.2307_26202162,"lawrence, james l.",1,NA,NA,NA,NA
journal-article-10.2307_26202166,"galantonu, dumitrina",1,NA,NA,NA,NA
journal-article-10.2307_26204947,"moore, amelia",1,NA,NA,NA,0000-0003-3940-4515
journal-article-10.2307_26204953,"hare, lizzy",1,NA,NA,NA,NA
journal-article-10.2307_26270605,"stytz, martin r.",1,NA,NA,NA,NA
journal-article-10.2307_26270605,"banks, sheila b.",2,NA,NA,NA,NA
journal-article-10.2307_26270616,"carafano, james jay",1,NA,NA,NA,NA
journal-article-10.2307_26270619,"harrison, todd",1,NA,NA,NA,NA
journal-article-10.2307_26271491,"moreno, jonathan d.",1,NA,NA,NA,NA
journal-article-10.2307_26271574,"chow, brian g.",1,NA,NA,NA,NA
journal-article-10.2307_26271590,"libicki, martin c.",1,NA,NA,NA,NA
journal-article-10.2307_26271632,"scharre, paul",1,NA,NA,NA,NA
journal-article-10.2307_26271634,"prier, jarred",1,NA,NA,NA,NA
journal-article-10.2307_26292280,"amoore, louise",1,NA,NA,NA,0000-0001-6728-8553
journal-article-10.2307_26292283,"bonelli, laurent",1,NA,NA,NA,NA
journal-article-10.2307_26292283,"ragazzi, francesco",2,NA,NA,NA,0000-0002-8240-3158
journal-article-10.2307_26292284,"leese, matthias",1,NA,NA,NA,0000-0002-7153-7783
journal-article-10.2307_26292341,"bigo, didier",1,NA,NA,NA,0000-0002-1908-6532
journal-article-10.2307_26302441,"adey, peter",1,NA,NA,NA,0000-0001-6807-4282
journal-article-10.2307_26302441,"anderson, ben",2,NA,NA,NA,0000-0003-3532-0058
journal-article-10.2307_26378220,"trivellato, francesca",1,NA,NA,NA,NA
journal-article-10.2307_26378573,"regier, terry",1,NA,NA,NA,0000-0003-0808-5208
journal-article-10.2307_26379522,"nyhan, brendan",1,NA,NA,NA,0000-0001-7497-1799
journal-article-10.2307_26379522,"skovron, christopher",2,NA,NA,NA,0000-0002-9521-5260
journal-article-10.2307_26379522,"titiunik, rocío",3,NA,NA,NA,NA
journal-article-10.2307_26380492,"mingye, li",1,NA,NA,NA,NA
journal-article-10.2307_26380518,"siddivò, marisa",1,NA,NA,NA,NA
journal-article-10.2307_26380533,"yu, haiqing",1,NA,NA,NA,0000-0002-6497-4133
journal-article-10.2307_26380534,"loubere, nicholas",1,NA,NA,NA,0000-0002-2386-5643
journal-article-10.2307_26380535,"sun, ping",1,NA,NA,NA,0000-0002-7518-8306
journal-article-10.2307_26382026,"baur, nina",1,NA,NA,NA,0000-0002-6626-1997
journal-article-10.2307_26382026,"toepoel, vera",2,NA,NA,NA,0000-0001-7315-6311
journal-article-10.2307_26382026,"van der vaart, wander",3,NA,NA,NA,0000-0003-0537-0089
journal-article-10.2307_26382026,"sala, emanuela",4,NA,NA,NA,0000-0002-4213-3173
journal-article-10.2307_26382026,"van meter, karl m.",5,NA,NA,NA,NA
journal-article-10.2307_26382026,"goodwin, john",6,NA,NA,NA,0000-0002-2044-1861
journal-article-10.2307_26382026,"durand, claire",7,NA,NA,NA,0000-0003-0340-4660
journal-article-10.2307_26382026,"weichbold, martin",8,NA,NA,NA,NA
journal-article-10.2307_26382026,"wagner, claire",9,NA,NA,NA,0000-0002-5886-4130
journal-article-10.2307_26382026,"liao, pei-shan",10,NA,NA,NA,0000-0001-9809-7418
journal-article-10.2307_26382026,"liao, pei-shan",10,NA,NA,NA,0000-0003-1291-2368
journal-article-10.2307_26382026,"liao, pei-shan",10,NA,NA,NA,0000-0001-6496-8852
journal-article-10.2307_26382026,"liao, pei-shan",10,NA,NA,NA,0000-0002-0969-0250
journal-article-10.2307_26382026,"liao, pei-shan",10,NA,NA,NA,0000-0003-4807-5805
journal-article-10.2307_26382026,"onaka, fumiya",11,NA,NA,NA,0000-0002-4827-409X
journal-article-10.2307_26382026,"andrade, adriana garcía",12,NA,NA,NA,NA
journal-article-10.2307_26382026,"deshmukh, yashwant",13,NA,NA,NA,NA
journal-article-10.2307_26382026,"manfreda, katja lozar",14,NA,NA,NA,NA
journal-article-10.2307_26382881,"healy, kieran",1,NA,NA,NA,0000-0001-9114-981X
journal-article-10.2307_26384745,"beauchamp, nicholas",1,NA,NA,NA,NA
journal-article-10.2307_26384897,"croicu, mihai",1,NA,NA,NA,0000-0002-5372-7129
journal-article-10.2307_26384897,"kreutz, joakim",2,NA,NA,NA,0000-0003-0650-2127
journal-article-10.2307_26386324,"kalantzis-cope, phillip",1,NA,NA,NA,0000-0001-6256-052X
journal-article-10.2307_26395922,"kemp, katharine",1,NA,NA,NA,0000-0002-7269-5329
journal-article-10.2307_26395922,"buckley, ross p.",2,NA,NA,NA,0000-0001-5152-7759
journal-article-10.2307_26395923,"arner, douglas w.",1,NA,NA,NA,NA
journal-article-10.2307_26395923,"zetzsche, dirk a.",2,NA,NA,NA,NA
journal-article-10.2307_26395923,"buckley, ross p.",3,NA,NA,NA,0000-0001-5152-7759
journal-article-10.2307_26395923,"barberis, janos n.",4,NA,NA,NA,NA
journal-article-10.2307_26395933,"dorn, walter",1,NA,NA,NA,0000-0002-2601-2937
journal-article-10.2307_26395935,"basso, bruno",1,NA,NA,NA,0000-0001-5331-6787
journal-article-10.2307_26395935,"dobrowolski, james",2,NA,NA,NA,0000-0001-5389-3912
journal-article-10.2307_26395935,"mckay, channing",3,NA,NA,NA,NA
journal-article-10.2307_26395978,"visner, samuel sanders",1,NA,NA,NA,NA
journal-article-10.2307_26396270,"emden, christian j.",1,NA,NA,NA,NA
journal-article-10.2307_26405736,"werth, robert",1,NA,NA,NA,0000-0002-9697-1914
journal-article-10.2307_26405736,"ballestero, andrea",2,NA,NA,NA,0000-0001-7692-0514
journal-article-10.2307_26405737,"williams, kaya naomi",1,NA,NA,NA,NA
journal-article-10.2307_26413316,"van dongen, teun",1,NA,NA,NA,0000-0001-7450-8737
journal-article-10.2307_26419963,"taub, jennifer",1,NA,NA,NA,0000-0002-4359-6727
journal-article-10.2307_26425193,"jutel, annemarie",1,NA,NA,NA,0000-0001-7131-3838
journal-article-10.2307_26425212,"voicu, bogdan",1,NA,NA,NA,0000-0003-0748-7678
journal-article-10.2307_26425212,"voicu, bogdan",1,NA,NA,NA,0000-0002-2221-2499
journal-article-10.2307_26425246,"madsen, richard",1,NA,NA,NA,0000-0003-3445-517X
journal-article-10.2307_26425720,"baumann, shyon",1,NA,NA,NA,0000-0002-1058-2505
journal-article-10.2307_26426365,"reeves, aaron",1,NA,NA,NA,0000-0001-9114-965X
journal-article-10.2307_26426365,"friedman, sam",2,NA,NA,NA,0000-0003-4375-9650
journal-article-10.2307_26426365,"rahal, charles",3,NA,NA,NA,0000-0002-1764-2697
journal-article-10.2307_26426365,"flemmen, magne",4,NA,NA,NA,0000-0002-2273-3913
journal-article-10.2307_26426367,"bail, christopher a.",1,NA,NA,NA,NA
journal-article-10.2307_26426367,"brown, taylor w.",2,NA,NA,NA,NA
journal-article-10.2307_26426367,"mann, marcus",3,NA,NA,NA,0000-0003-0940-7811
journal-article-10.2307_26426410,"fligstein, neil",1,NA,NA,NA,0000-0002-7049-6502
journal-article-10.2307_26426410,"brundage, jonah stuart",2,NA,NA,NA,NA
journal-article-10.2307_26426410,"schultz, michael",3,NA,NA,NA,0000-0001-9131-4096
journal-article-10.2307_26426410,"schultz, michael",3,NA,NA,NA,0000-0002-6741-4115
journal-article-10.2307_26426411,"askin, noah",1,NA,NA,NA,0000-0003-3935-1484
journal-article-10.2307_26426411,"mauskapf, michael",2,NA,NA,NA,0000-0001-6476-5115
journal-article-10.2307_26426413,"brayne, sarah",1,NA,NA,NA,NA
journal-article-10.2307_26427268,"young, chris",1,NA,NA,NA,0000-0001-8793-6837
journal-article-10.2307_26427269,"hazelwood, dan",1,NA,NA,NA,NA
journal-article-10.2307_26429058,"alwin, duane f.",1,NA,NA,NA,NA
journal-article-10.2307_26430813,"grieco, kelly a.",1,NA,NA,NA,0000-0001-8043-0251
journal-article-10.2307_26450038,"barlow-stewart, kristine",1,NA,NA,NA,0000-0003-1831-9944
journal-article-10.2307_26450190,"rogers, zac",1,NA,NA,NA,0000-0001-6832-689X
journal-article-10.2307_26457765,"wu, yejun",1,NA,NA,NA,0000-0003-0134-0333
journal-article-10.2307_26465232,"rogers, ann",1,NA,NA,NA,0000-0001-9943-0470
journal-article-10.2307_26465290,"coulthart, stephen",1,NA,NA,NA,0000-0001-9722-9378
journal-article-10.2307_26465290,"crosston, matthew",2,NA,NA,NA,0000-0003-4751-1345
journal-article-10.2307_26465292,"middleton, gordon r.",1,NA,NA,NA,NA
journal-article-10.2307_26465298,"roche, edward m.",1,NA,NA,NA,NA
journal-article-10.2307_26465298,"blaine, michael j.",2,NA,NA,NA,NA
journal-article-10.2307_26465298,"mccreary, john",3,NA,NA,NA,0000-0002-8390-2127
journal-article-10.2307_26466778,"landon-murray, michael",1,NA,NA,NA,NA
journal-article-10.2307_26466893,"marcellino, william m.",1,NA,NA,NA,NA
journal-article-10.2307_26466893,"cragin, kim",2,NA,NA,NA,NA
journal-article-10.2307_26466893,"mendelsohn, joshua",3,NA,NA,NA,0000-0001-8500-1683
journal-article-10.2307_26466893,"cady, andrew micahel",4,NA,NA,NA,NA
journal-article-10.2307_26466893,"magnuson, madeline",5,NA,NA,NA,NA
journal-article-10.2307_26466893,"reedy, kathleen",6,NA,NA,NA,NA
journal-article-10.2307_26469824,"omand, david",1,NA,NA,NA,NA
journal-article-10.2307_26470378,"ho, peter",1,NA,NA,NA,0000-0002-5834-0628
journal-article-10.2307_26470378,"ho, peter",1,NA,NA,NA,0000-0003-4962-6808
journal-article-10.2307_26470378,"kuah, adrian w. j.",2,NA,NA,NA,NA
journal-article-10.2307_26470410,"barton, rick",1,NA,NA,NA,NA
journal-article-10.2307_26470513,"selva, paul j.",1,NA,NA,NA,NA
journal-article-10.2307_26470516,"mcdew, darren",1,NA,NA,NA,NA
journal-article-10.2307_26470517,"rybeck, charles",1,NA,NA,NA,NA
journal-article-10.2307_26470517,"cornwell, lanny",2,NA,NA,NA,NA
journal-article-10.2307_26470517,"sagan, philip",3,NA,NA,NA,NA
journal-article-10.2307_26470518,"disparte, dante",1,NA,NA,NA,NA
journal-article-10.2307_26470525,"garber, larry",1,NA,NA,NA,0000-0002-8686-2853
journal-article-10.2307_26481829,"de leon, ricardo f.",1,NA,NA,NA,NA
journal-article-10.2307_26481829,"rufo, marlon v.",2,NA,NA,NA,NA
journal-article-10.2307_26481829,"pablo, mark davis m.",3,NA,NA,NA,NA
journal-article-10.2307_26482979,"schmid, alex p.",1,NA,NA,NA,NA
journal-article-10.2307_26482979,"forest, james j.",2,NA,NA,NA,NA
journal-article-10.2307_26482995,"tinnes, judith",1,NA,NA,NA,NA
journal-article-10.2307_26482997,"jongman, berto",1,NA,NA,NA,NA
journal-article-10.2307_26487782,"sacasas, l. m.",1,NA,NA,NA,NA
journal-article-10.2307_26494339,"ünver, h. akın",1,NA,NA,NA,NA
journal-article-10.2307_26494364,"motupalli, venkat",1,NA,NA,NA,NA
journal-article-10.2307_26494368,"unver, h. akin",1,NA,NA,NA,0000-0002-6932-8325
journal-article-10.2307_26494370,"del valle ruiz, álvaro gómez",1,NA,NA,NA,NA
journal-article-10.2307_26497111,"deppa, catherine s.",1,NA,NA,NA,NA
journal-article-10.2307_26497114,"softness, nicole a.",1,NA,NA,NA,NA
journal-article-10.2307_26497128,"opstal, daniel w.",1,NA,NA,NA,NA
journal-article-10.2307_26508115,"bradshaw, samantha",1,NA,NA,NA,0000-0001-5305-369X
journal-article-10.2307_26508115,"howard, philip n.",2,NA,NA,NA,0000-0003-3380-821X
journal-article-10.2307_26508116,"guilbeault, douglas",1,NA,NA,NA,0000-0002-0177-3027
journal-article-10.2307_26510624,"baxter, davin j.",1,NA,NA,NA,0000-0002-1789-3605
journal-article-10.2307_26515468,"bergema, reinier",1,NA,NA,NA,NA
journal-article-10.2307_26531927,"lee, francis l. f.",1,NA,NA,NA,0000-0003-1587-4950
journal-article-10.2307_26532695,"sanovich, sergey",1,NA,NA,NA,0000-0003-4897-5264
journal-article-10.2307_26532695,"stukal, denis",2,NA,NA,NA,0000-0001-6240-5714
journal-article-10.2307_26532695,"tucker, joshua a.",3,NA,NA,NA,0000-0003-1321-8650
journal-article-10.2307_26532993,"carrozza, chiara",1,NA,NA,NA,0000-0002-4692-3332
journal-article-10.2307_26533617,"haffa, robert p.",1,NA,NA,NA,NA
journal-article-10.2307_26533634,"fotia, giorgio",1,NA,NA,NA,0000-0002-6445-3872
journal-article-10.2307_26544652,"bergema, reinier",1,NA,NA,NA,NA
journal-article-10.2307_26552328,"ganesh, bharath",1,NA,NA,NA,0000-0002-6544-5727
journal-article-10.2307_26555040,"babones, salvatore",1,NA,NA,NA,0000-0002-8777-5727
journal-article-10.2307_26555816,"ryan, louise",1,NA,NA,NA,0000-0002-6876-677X
journal-article-10.2307_26555816,"ryan, louise",1,NA,NA,NA,0000-0001-9345-8050
journal-article-10.2307_26555816,"maxwell, claire",2,NA,NA,NA,0000-0002-1266-8011
journal-article-10.2307_26556369,"meer, nasar",1,NA,NA,NA,0000-0002-3042-095X
journal-article-10.2307_26556369,"leonard, pauline",2,NA,NA,NA,0000-0001-6079-7347
journal-article-10.2307_26556369,"taylor, steve",3,NA,NA,NA,0000-0001-7696-7064
journal-article-10.2307_26556369,"taylor, steve",3,NA,NA,NA,0000-0003-2332-3657
journal-article-10.2307_26556369,"o’connor, henrietta",4,NA,NA,NA,NA
journal-article-10.2307_26556369,"offer, john",5,NA,NA,NA,0000-0002-2437-3309
journal-article-10.2307_26556371,"frade, carlos",1,NA,NA,NA,0000-0002-7655-8858
journal-article-10.2307_26556375,"mcrobbie, angela",1,NA,NA,NA,NA
journal-article-10.2307_26556383,"meer, nasar",1,NA,NA,NA,0000-0002-3042-095X
journal-article-10.2307_26556383,"lamont, michèle",2,NA,NA,NA,NA
journal-article-10.2307_26556384,"meer, nasar",1,NA,NA,NA,0000-0002-3042-095X
journal-article-10.2307_26556384,"back, les",2,NA,NA,NA,0000-0001-6057-0599
journal-article-10.2307_26566422,"knoll, lisa",1,NA,NA,NA,0000-0002-1353-7443
journal-article-10.2307_26566422,"knoll, lisa",1,NA,NA,NA,0000-0003-1177-5760
journal-article-10.2307_26566422,"knoll, lisa",1,NA,NA,NA,0000-0001-7164-061X
journal-article-10.2307_26583596,"ceyhan, ayse alyzée",1,NA,NA,NA,NA
journal-article-10.2307_26588336,"janow, merit e.",1,NA,NA,NA,NA
journal-article-10.2307_26588344,"pollitzer, elizabeth",1,NA,NA,NA,0000-0002-9608-5517
journal-article-10.2307_26588346,"chou, shuo-yan",1,NA,NA,NA,0000-0002-7398-0375
journal-article-10.2307_26588346,"chou, shuo-yan",1,NA,NA,NA,0000-0003-2339-8026
journal-article-10.2307_26588349,"song, schoni",1,NA,NA,NA,NA
journal-article-10.2307_26588350,"naudé, wim",1,NA,NA,NA,0000-0003-2496-6945
journal-article-10.2307_26590531,"scrivens, ryan",1,NA,NA,NA,0000-0001-7432-7370
journal-article-10.2307_26593335,"scharpf, adam",1,NA,NA,NA,0000-0001-6665-9025
journal-article-10.2307_26593335,"schneider, gerald",2,NA,NA,NA,0000-0003-3122-7948
journal-article-10.2307_26593335,"nöh, anna",3,NA,NA,NA,NA
journal-article-10.2307_26593335,"clauset, aaron",4,NA,NA,NA,0000-0002-3529-8746
journal-article-10.2307_26593742,"yorke, claire",1,NA,NA,NA,0000-0003-2446-5518
journal-article-10.2307_26593799,"pouliot, vincent",1,NA,NA,NA,0000-0002-5113-9956
journal-article-10.2307_26593816,"neal, andrew w.",1,NA,NA,NA,NA
journal-article-10.2307_26598772,"kogan, vladimir",1,NA,NA,NA,0000-0001-8329-2691
journal-article-10.2307_26598772,"lavertu, stéphane",2,NA,NA,NA,NA
journal-article-10.2307_26598772,"peskowitz, zachary",3,NA,NA,NA,0000-0001-8765-4573
journal-article-10.2307_26598778,"montgomery, jacob m.",1,NA,NA,NA,NA
journal-article-10.2307_26598778,"olivella, santiago",2,NA,NA,NA,0000-0002-8654-5938
journal-article-10.2307_26600626,"huhe, narisong",1,NA,NA,NA,0000-0002-0875-3029
journal-article-10.2307_26600626,"tang, min",2,NA,NA,NA,0000-0001-6933-4007
journal-article-10.2307_26600626,"chen, jie",3,NA,NA,NA,0000-0002-2539-8305
journal-article-10.2307_26600626,"chen, jie",3,NA,NA,NA,0000-0002-7183-0904
journal-article-10.2307_26600626,"chen, jie",3,NA,NA,NA,0000-0002-0992-2410
journal-article-10.2307_26604897,"bartl, walter",1,NA,NA,NA,0000-0002-1865-4980
journal-article-10.2307_26604897,"papilloud, christian",2,NA,NA,NA,NA
journal-article-10.2307_26604897,"terracher-lipinski, audrey",3,NA,NA,NA,NA
journal-article-10.2307_26604898,"thévenot, laurent",1,NA,NA,NA,0000-0002-4317-0419
journal-article-10.2307_26604899,"diaz-bone, rainer",1,NA,NA,NA,0000-0001-8831-3738
journal-article-10.2307_26604908,"lepenies, philipp",1,NA,NA,NA,NA
journal-article-10.2307_26605181,"finkel, alan",1,NA,NA,NA,0000-0002-5043-4806
journal-article-10.2307_26609098,"askonas, jon",1,NA,NA,NA,NA
journal-article-10.2307_26609115,"sacasas, l. m.",1,NA,NA,NA,NA
journal-article-10.2307_26618038,"berger, jonah",1,NA,NA,NA,0000-0002-2669-8211
journal-article-10.2307_26626869,"tinnes, judith",1,NA,NA,NA,NA
journal-article-10.2307_26639655,"ahl, björn",1,NA,NA,NA,0000-0002-9195-4437
journal-article-10.2307_26639655,"cai, lidong",2,NA,NA,NA,NA
journal-article-10.2307_26639655,"xi, chao",3,NA,NA,NA,0000-0003-3133-142X
journal-article-10.2307_26639656,"tang, yingmao",1,NA,NA,NA,NA
journal-article-10.2307_26639656,"liu, john zhuang",2,NA,NA,NA,0000-0002-9106-0214
journal-article-10.2307_26639658,"yang, fan",1,NA,NA,NA,0000-0002-9448-4231
journal-article-10.2307_26639659,"cai, lidong",1,NA,NA,NA,NA
journal-article-10.2307_26639659,"qi, yingcheng",2,NA,NA,NA,NA
journal-article-10.2307_26639661,"lin, xifen",1,NA,NA,NA,0000-0003-2818-8378
journal-article-10.2307_26639661,"ma, yong",2,NA,NA,NA,0000-0001-9980-9181
journal-article-10.2307_26639661,"gu, zihui",3,NA,NA,NA,NA
journal-article-10.2307_26639674,"may, timothy j.",1,NA,NA,NA,NA
journal-article-10.2307_26650773,"madurapperuma, buddhika",1,NA,NA,NA,0000-0003-2786-4477
journal-article-10.2307_26650773,"barger, jess",2,NA,NA,NA,NA
journal-article-10.2307_26650773,"collin, melissa",3,NA,NA,NA,NA
journal-article-10.2307_26650773,"emerson, christine",4,NA,NA,NA,0000-0002-6817-6657
journal-article-10.2307_26650773,"fleming, sean",5,NA,NA,NA,0000-0003-4785-0718
journal-article-10.2307_26650773,"murphy, brian",6,NA,NA,NA,0000-0001-5235-3148
journal-article-10.2307_26650776,"perdue, nicholas",1,NA,NA,NA,0000-0002-5631-8515
journal-article-10.2307_26661561,"brockington, dan",1,NA,NA,NA,0000-0001-5692-0154
journal-article-10.2307_26661563,"miller, daniel c.",1,NA,NA,NA,0000-0001-5927-4397
journal-article-10.2307_26661563,"rana, pushpendra",2,NA,NA,NA,0000-0001-8626-3351
