document,topic,gamma
scopus_2520,1,0.005732476685817214
scopus_2575,1,0.0037720291916382735
scopus_2734,1,0.32514358631979523
scopus_2742,1,0.002817260235114699
scopus_2759,1,0.04310943147632575
scopus_2775,1,0.021657373896801002
scopus_2784,1,0.0026521693637411143
scopus_2790,1,0.0012683294332441327
scopus_2855,1,0.01124741957389336
scopus_2895,1,0.019627701517174866
scopus_3022,1,0.0029781550428040907
scopus_3044,1,0.03998708405348246
scopus_311,1,0.0034789507016753083
scopus_3110,1,8.606928422582598e-4
scopus_3114,1,0.006205884677164317
scopus_3172,1,0.002246120621877193
scopus_3188,1,0.03998917243643705
scopus_3199,1,0.013245485655462541
scopus_32,1,0.1780183198751775
scopus_3252,1,0.42137639748921485
scopus_3317,1,0.010033149067881478
scopus_3351,1,0.003910529747570279
scopus_3432,1,0.0014905293128540348
scopus_3447,1,0.0067488938146005525
scopus_3460,1,0.006937941174380292
scopus_3466,1,0.005529056760337673
scopus_3517,1,0.11321122281837112
scopus_3551,1,0.11023167941567567
scopus_3558,1,7.352740766021301e-4
scopus_3648,1,0.015455289592576076
scopus_3686,1,0.002508714094321943
scopus_3724,1,0.009805651782432383
scopus_3806,1,0.23756772026217562
scopus_381,1,0.0040028791123457004
scopus_3866,1,0.013412309883508798
scopus_3898,1,0.00520298563991429
scopus_3924,1,0.008675352719478618
scopus_3937,1,0.007154854512095423
scopus_4004,1,0.010328861854991368
scopus_4109,1,0.022621631058899257
scopus_4126,1,0.004466403544379358
scopus_4138,1,0.05669129991356494
scopus_415,1,0.0011223625244663827
scopus_4166,1,0.007517844496409867
scopus_4241,1,0.007361187452134695
scopus_4242,1,0.014659252712111468
scopus_4295,1,0.0241939020243987
scopus_4323,1,0.015600452925909695
scopus_4338,1,0.0039602166909683345
scopus_4341,1,0.004805637266424815
scopus_4373,1,0.7109238965901369
scopus_4380,1,0.008711864050754976
scopus_455,1,0.06343715591669613
scopus_4567,1,0.014675415954879123
scopus_4595,1,0.04200257914511897
scopus_4874,1,0.02475936894029866
scopus_4897,1,0.0017588793044839546
scopus_5253,1,0.20159701248458442
scopus_5265,1,0.18484786883691798
scopus_546,1,0.023077336624900066
scopus_5482,1,0.30643204053213874
scopus_5524,1,0.05063685446762585
scopus_5600,1,0.002648350251108482
scopus_5616,1,0.0035810476077872463
scopus_592,1,0.011730956148951163
scopus_617,1,0.11376757879387688
scopus_733,1,0.011478129702519237
scopus_767,1,0.04353635060775175
scopus_769,1,0.08338352372380244
scopus_773,1,0.2691448058715029
scopus_84,1,0.004631309937293118
scopus_875,1,0.011683367592152062
scopus_899,1,0.015761697870946008
scopus_927,1,0.002293251872195686
scopus_989,1,0.005802832606498046
scopus_1019,1,0.006479445635561375
scopus_1021,1,0.010827297448013595
scopus_1074,1,0.059372567240548936
scopus_1157,1,0.04545866883175897
scopus_1186,1,0.011444879386280048
scopus_1212,1,0.0024616674077821807
scopus_1230,1,0.6757960012574554
scopus_1239,1,0.004067392373840625
scopus_1281,1,0.02125233542045632
scopus_1295,1,0.02891454758285521
scopus_1344,1,0.00229381874586608
scopus_1349,1,0.021750185291509506
scopus_1370,1,0.044122520300213894
scopus_1376,1,0.011316898543293777
scopus_1397,1,0.04288318699611082
scopus_1419,1,0.2749869980387298
scopus_1422,1,0.006613829118854523
scopus_1460,1,0.00283720601807638
scopus_1482,1,0.2913585007356767
scopus_1500,1,0.0062476327849747115
scopus_1515,1,0.009467980727112933
scopus_1583,1,0.0059715741121400346
scopus_1594,1,0.004598287990490221
scopus_1677,1,0.07545887760232446
scopus_170,1,0.48364379424439896
scopus_1703,1,0.38242807320524486
scopus_1714,1,0.08594715492643867
scopus_1800,1,0.01426289871076715
scopus_1816,1,5.908594240617911e-4
scopus_1820,1,0.01873662415533997
scopus_1852,1,0.018962098231792873
scopus_1856,1,0.3761477202244902
scopus_1899,1,0.010783796958076224
scopus_1919,1,0.021731067094933446
scopus_1954,1,0.0160112842667301
scopus_1961,1,0.001280507937900276
scopus_1991,1,0.003586963352227678
scopus_2014,1,0.01727648682634693
scopus_2016,1,0.29111302008723194
scopus_2056,1,0.0023959851868891272
scopus_2075,1,0.02878149731335403
scopus_2080,1,0.009044342406651631
scopus_2089,1,0.012718441316240496
scopus_2090,1,0.029864204486105144
scopus_2142,1,0.004794556851905175
scopus_2146,1,0.1496798974359256
scopus_2164,1,0.14621316502260975
scopus_2184,1,0.013056453596767308
scopus_2192,1,0.009228275113037848
scopus_2216,1,0.009027148041073062
scopus_2254,1,0.02129579315123514
scopus_2256,1,0.00658120532416377
scopus_2262,1,0.015047439839673953
scopus_2281,1,0.001704761869014342
scopus_229,1,0.010032955668368359
scopus_23,1,0.05201659540827066
scopus_2314,1,0.6449698308697782
scopus_2343,1,0.01635543360202775
scopus_2345,1,0.0130310319391434
scopus_2348,1,0.006179488302611909
scopus_2358,1,0.006757441012283403
scopus_2387,1,0.001707108265443884
scopus_2392,1,0.5615491963356721
scopus_2397,1,0.0063391396227818544
scopus_2423,1,0.015226840850016292
scopus_2450,1,0.04183272424524568
scopus_2460,1,0.004645878551534922
scopus_2461,1,0.0019968504952523783
scopus_2473,1,0.007762688923849423
scopus_2484,1,0.0026889467188398897
scopus_2508,1,0.0019788160272869123
scopus_2610,1,0.008017781073248298
scopus_2674,1,0.06305372860305682
scopus_2729,1,0.006552631494733639
scopus_2743,1,0.003251374497644724
scopus_2849,1,0.026690474564121363
scopus_2888,1,0.001770561599280176
scopus_2893,1,0.003414571245889817
scopus_2946,1,0.03302716043272237
scopus_2994,1,0.006472392423643164
scopus_300,1,0.009587067924788088
scopus_3020,1,0.008409329782440463
scopus_3066,1,0.09754450633274822
scopus_3068,1,0.008934408807483335
scopus_307,1,0.7927915967943975
scopus_3112,1,0.004020558392931669
scopus_3120,1,0.023332941537295152
scopus_3131,1,0.17103493502230513
scopus_3132,1,0.009848649101738395
scopus_3138,1,0.0557621159927126
scopus_3150,1,0.008364148565401923
scopus_3170,1,0.00916521217299194
scopus_3196,1,0.004182066989504974
scopus_3203,1,0.07788299371770627
scopus_3215,1,0.01222076066863805
scopus_3235,1,0.005405088313424283
scopus_3239,1,0.00179957590947402
scopus_3243,1,0.005058731686142228
scopus_3282,1,7.831598738874374e-4
scopus_3353,1,0.011171461620765705
scopus_3378,1,0.04606295217887331
scopus_3409,1,0.8405068315508474
scopus_3411,1,0.004520308461124975
scopus_343,1,0.11997720992591138
scopus_3436,1,0.003017493947137799
scopus_3437,1,0.02384193957443946
scopus_3455,1,0.0029858862665103542
scopus_3459,1,0.044939491004792304
scopus_3469,1,0.007985210764271746
scopus_3541,1,0.005913923584022038
scopus_3569,1,0.02492238767596624
scopus_3599,1,0.0180128878964658
scopus_3694,1,0.008049409663216997
scopus_3747,1,0.006084943151495102
scopus_3767,1,0.007870769727245177
scopus_382,1,0.004229335580846255
scopus_3858,1,0.005929705431165192
scopus_3865,1,0.18921574088700968
scopus_3982,1,0.002580411575358885
scopus_4014,1,0.08695562822110701
scopus_4020,1,0.01623435773296982
scopus_4036,1,0.010806308107306152
scopus_4070,1,0.035876664436446735
scopus_4082,1,0.0965315298397312
scopus_4104,1,0.29820004420735435
scopus_4111,1,0.2207948190362578
scopus_4132,1,0.008618978637810424
scopus_4145,1,0.009182648873690198
scopus_4183,1,0.04022776904705344
scopus_4193,1,0.6189372373870365
scopus_4195,1,0.0029625206155124966
scopus_4228,1,0.026023931425556607
scopus_4232,1,0.0014211708450935846
scopus_4234,1,0.04656707831140802
scopus_4239,1,0.004060323470267208
scopus_4265,1,0.19484144367942355
scopus_4385,1,0.0050600551803044735
scopus_4437,1,0.23800325821219243
scopus_4448,1,0.018103403135659578
scopus_4450,1,0.015198662547243672
scopus_4457,1,0.02405489590705321
scopus_4521,1,0.011894747559157287
scopus_4602,1,0.4906686708116031
scopus_4656,1,0.014823011167156577
scopus_468,1,0.007441941700919191
scopus_469,1,0.0062927718313399135
scopus_4736,1,0.0031457365535721544
scopus_477,1,0.03925861674458341
scopus_4964,1,0.0026219958288217636
scopus_4979,1,0.005763560790170408
scopus_50,1,0.6618756699562331
scopus_5043,1,0.033206837365644365
scopus_5096,1,0.009074972551773544
scopus_5113,1,0.09962921534305948
scopus_5175,1,0.004297479459092424
scopus_5212,1,0.004435044240702815
scopus_5233,1,0.28268794804707176
scopus_5270,1,0.49676771210245924
scopus_5340,1,0.09771563756992052
scopus_5428,1,0.1317542129626452
scopus_544,1,0.010523114023259216
scopus_553,1,0.005895092949925171
scopus_5636,1,0.21167049544183458
scopus_580,1,0.011206060144631724
scopus_61,1,0.1965211318898545
scopus_638,1,0.004347655704615276
scopus_651,1,0.008765184676971183
scopus_67,1,0.00226147927334414
scopus_75,1,0.016195300975247618
scopus_783,1,0.008886440265220945
scopus_808,1,0.003546166239633702
scopus_815,1,0.008582232627688055
scopus_826,1,0.0034505170826721406
scopus_836,1,0.09597725611594521
scopus_841,1,0.004840471451265166
scopus_849,1,0.001150658223400132
scopus_852,1,0.00642208894527176
scopus_885,1,0.0076413234024925985
scopus_912,1,0.009829173176714143
scopus_934,1,0.09580994612592307
scopus_965,1,0.0016424602583831023
scopus_100,1,0.00131629018080793
scopus_1002,1,0.003926478187682037
scopus_102,1,0.05831950230458992
scopus_1061,1,0.0333137311826586
scopus_1070,1,0.010767072192320653
scopus_1071,1,0.3970697893286714
scopus_1092,1,0.003605785802543264
scopus_1124,1,0.713616817799038
scopus_1154,1,0.0030946214021032926
scopus_1165,1,0.01059005971008532
scopus_1175,1,0.1725163892917635
scopus_1253,1,0.02558070919392006
scopus_1263,1,0.004705040286066209
scopus_1279,1,0.002245624140755606
scopus_1284,1,0.008709772276959148
scopus_1347,1,0.03319164887770712
scopus_1359,1,0.014063645598217146
scopus_1364,1,0.004172872273348066
scopus_1368,1,0.4298168289487652
scopus_1399,1,0.00910457336402826
scopus_1405,1,0.018332883782932956
scopus_1425,1,0.013874349553734172
scopus_1426,1,0.3164482559220804
scopus_1430,1,0.005704473814865071
scopus_1442,1,0.033126890919826124
scopus_1453,1,0.006148398116199796
scopus_1455,1,0.060127221056517445
scopus_1499,1,0.03164015998508363
scopus_1511,1,0.1813898478756994
scopus_1540,1,0.7019058361968163
scopus_1541,1,0.005543647888854027
scopus_1596,1,0.036704074551381506
scopus_161,1,0.0066104146036549145
scopus_1625,1,0.009278515909722885
scopus_1645,1,0.5522268427837614
scopus_1658,1,0.009615879624476771
scopus_1660,1,0.020455559826458566
scopus_1691,1,0.013771760770591968
scopus_1701,1,0.0768376537651434
scopus_1710,1,0.021690201908389238
scopus_1716,1,0.013765035484519232
scopus_1767,1,0.14629948042602087
scopus_177,1,0.04997135240108475
scopus_1786,1,0.11571852111240609
scopus_1817,1,0.0025740497450298886
